ex	E	stop_cod	ss1.ate	ss4.ate	tr_id	ss1.junc	ss4.junc	reads	within_ex	UTR_len
chr20_35004057_35004364_-	-_35004458	35004140	35003616	35004091	CHS.33378.20	35003616	35003873	203275	FALSE	267
chr21_46128903_46129801_+	46126541_-	46128928	46128977	46131954	CHS.35040.13	46129392	46131954	54740	TRUE	464
chr17_46527088_46528859_-	-_46570759	46528852	46517233	46528803	CHS.22488.14	46517233	46528756	47277	TRUE	96
chr3_133935906_133936326_-	-_133938429	133936253	133935897	133936204	CHS.38418.28	133935897	133936028	24652	TRUE	225
chr19_54178135_54178228_-	-_54178765	54178222	54174431	54178173	CHS.27533.13	54174431	54178143	19173	TRUE	79
chr5_111500297_111500470_-	-_111501002	111500454	111500106	111500405	CHS.43599.29	111500106	111500267	17731	FALSE	187
chr17_44317485_44317861_+	44316725_-	44317504	44317553	44318096	CHS.22394.1,CHS.22394.2,CHS.22394.22	44317938	44318096	16380	FALSE	434
chr13_49915737_49918221_-	-_49921478	49918178	49915160	49918129	CHS.14067.7	49915160	49918093	13964	TRUE	85
chr13_49917103_49918221_-	-_49921478	49918178	49915160	49918129	CHS.14067.14	49915160	49918093	13964	TRUE	85
chr20_1566397_1566487_-	-_1570805	1566480	1566267	1566431	CHS.32726.26	1566267	1566354	13619	FALSE	126
chr10_43171984_43172156_+	43167098_-	43172076	43172125	43175951	CHS.6012.4	43172163	43175951	13046	FALSE	87
chr4_521989_522843_+	521941_-	522213	522262	523459	CHS.39605.5	522410	523459	12829	TRUE	197
chr17_46527088_46528859_-	-_46570759	46528852	46517233	46528803	CHS.22488.14	46517233	46528798	11954	TRUE	54
chr1_78661386_78661406_+	78660654_-	78661391	78661440	78662704	CHS.2005.2	78661456	78662704	11709	FALSE	65
chr22_37227768_37227943_-	-_37231231	37227906	37226803	37227857	CHS.35763.16	37226803	37227768	9998	FALSE	138
chr13_23798217_23798855_-	-_23805950	23798838	23760217	23798789	CHS.13577.14	23760217	23798724	8902	TRUE	114
chr4_70796663_70796940_+	70794894_-	70796689	70796738	70800141	CHS.40589.2	70796746	70800141	8778	TRUE	57
chr15_48162719_48162893_-	-_48165933	48162795	48159804	48162746	CHS.17296.51	48159804	48162677	8589	FALSE	118
chr16_20544544_20544822_-	-_20545157	20544808	20543262	20544759	CHS.19281.16	20543262	20544712	7956	TRUE	96
chr18_47108912_47111786_-	-_47112977	47111752	47108785	47111703	CHS.24575.20	47108785	47108923	7606	TRUE	2829
chr20_2659015_2659312_-	-_2659525	2659253	2658837	2659204	CHS.32762.10	2658837	2659109	7338	TRUE	144
chr22_19893908_19895200_-	-_19895407	19895133	19883461	19895084	CHS.35216.26,CHS.35216.27	19883461	19894197	7278	TRUE	936
chr10_84214082_84218694_+	84213348_-	84214621	84214670	84219079	CHS.6665.16,CHS.6665.22,CHS.6665.3	84215983	84219079	7231	TRUE	1362
chr10_121961753_121962107_-	-_121963238	121962001	121961517	121961952	CHS.7388.30	121961517	121961843	7202	TRUE	158
chr1_93237262_93237380_+	93236390_-	93237277	93237326	93239310	CHS.2232.4	93237380	93239310	6205	FALSE	103
chr3_3172176_3172646_-	-_3172776	3172589	3167793	3172540	CHS.36464.16	3167793	3172506	6107	TRUE	83
chr6_159748590_159749419_+	159748369_-	159748650	159748699	159753460	CHS.47962.10,CHS.47962.6	159748934	159753460	5960	TRUE	284
chr2_25384908_25387151_-	-_25387289	25387099	25383889	25387050	CHS.28982.53	25383889	25386027	5725	TRUE	1072
chr3_111133661_111137560_+	111126335_-	111133692	111133741	111144899	CHS.37968.2	111134479	111144899	5073	TRUE	787
chr3_111133635_111137549_+	111126335_-	111134215	111134264	111144899	CHS.37968.8	111134479	111144899	5073	TRUE	264
chr3_111133635_111137560_+	111126335_-	111134215	111134264	111144899	CHS.37968.1	111134479	111144899	5073	TRUE	264
chr10_7571405_7572398_-	-_7573142	7572322	7569784	7572273	CHS.5468.18	7569784	7571837	4246	TRUE	485
chr10_7571717_7572398_-	-_7573142	7572322	7569784	7572273	CHS.5468.19	7569784	7571837	4246	TRUE	485
chr10_73775419_73776219_+	73773815_-	73775515	73775564	73778828	CHS.6510.4	73776158	73778828	3809	TRUE	643
chr10_73775541_73776219_+	73773815_-	73775685	73775734	73778828	CHS.6510.5	73776158	73778828	3809	TRUE	473
chr20_38087863_38089630_+	38066256_-	38088003	38088052	38089726	CHS.33463.2	38088420	38089726	3769	TRUE	417
chr11_31452545_31453092_-	-_31456260	31453078	31449091	31453029	CHS.8366.31	31449091	31452718	3725	TRUE	360
chr9_121161283_121161505_+	121160302_-	121161296	121161345	121161856	CHS.56648.2,CHS.56648.6	121161625	121161856	3722	FALSE	329
chr9_33347663_33348731_+	33347117_-	33347740	33347789	33351560	CHS.55317.1	33347942	33351560	3695	TRUE	202
chr9_33347666_33347937_+	33347117_-	33347740	33347789	33351560	CHS.55317.18	33347942	33351560	3695	FALSE	202
chr9_33347666_33347938_+	33347117_-	33347740	33347789	33351560	CHS.55317.32	33347942	33351560	3695	FALSE	202
chr10_95865273_95865823_+	95864861_-	95865299	95865348	95866177	CHS.6882.24	95865411	95866177	3623	TRUE	112
chr14_69089204_69091156_-	-_69091674	69091055	69075411	69091006	CHS.15806.30	69075411	69089948	3594	TRUE	1107
chr7_139913065_139914029_+	139911321_-	139913187	139913236	139936191	CHS.51993.24	139913412	139936191	3357	TRUE	225
chr7_140016392_140016579_+	140015860_-	140016416	140016465	140017671	CHS.51993.18	140016512	140017671	3243	TRUE	96
chr17_50751297_50751569_+	50750852_-	50751321	50751370	50752200	CHS.22690.10	50751375	50752200	2958	TRUE	54
chr17_39530604_39534544_+	39526316_-	39531316	39531365	39544249	CHS.22063.3,CHS.22063.34	39531408	39544249	2934	TRUE	92
chr17_39530631_39534544_+	39526316_-	39531316	39531365	39544249	CHS.22063.31,CHS.22063.35	39531408	39544249	2934	TRUE	92
chr3_138272037_138272526_+	138270132_-	138272057	138272106	138272967	CHS.38474.7	138272268	138272967	2885	TRUE	211
