ex	transcript_id	E	stop_cod	gr_50bp	TE	transcript_id_te	source	pAread	atlas_exp	gene_name	db_xref.nmd	max_TPM.nmd	sample_count.nmd	db_xref.ate	sample_count.ate	max_TPM.ate	I1	I2
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119002253	NA	pAread	95	0	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119004781	NA	pAread	14	0	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119005486	NA	pAread	414	0	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119007015	NA	pAread	158	0	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119007969	NA	atlas	0	0.0046	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119008371	NA	atlas	0	0.0091	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119009003	NA	pAread	15	0	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119009791	NA	atlas	0	0.066	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119010555	NA	atlas	0	0.0482	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_119001613_119001825_+	CHS.10152.14	chr11_118999109_119010764_+	119001676	TRUE	119010697	NA	atlas,pAread	333	0.4433	CENATAC	RefSeq:NR_104051.2,GENCODE:ENST00000526463.5	32	6791	NA	NA	NA	chr11_118999109_119001613_+	chr11_119001825_119010764_+
chr11_125609710_125609780_+	CHS.10347.1	chr11_125609589_125611428_+	125609720	TRUE	125609853	NA	pAread	22	0	STT3A	NA	12	1611	NA	NA	NA	chr11_125609589_125609710_+	chr11_125609780_125611428_+
