"gene_name","poison_exon","E_junc","case","stop_codon","range_tau","min_tau","range_psi1","cor_psi1_tau","cor_psi1_tau_pval","cor_psi1_tau_qval","PAS","PAS_source","pAread","polyASite","I2_split_reads"
"AAR2","chr20_36246201_36246278_+","chr20_36244926_36255578_+","I",36246203,0.153,0.847,0.006,-0.394,0.002,0.009,"36247769","TE,polyASite,pAread",166,0,NA
"ACAD10","chr12_111749011_111749103_+","chr12_111748475_111749173_+","III",111749039,0.178,0.822,0.194,-0.109,0.224,0.42,"111749132","TE",NA,NA,298
"ACOX3","chr4_8386680_8388372_-","chr4_8381607_8389173_-","III",8388308,0,1,0.018,NA,NA,NA,"8386520","TE",NA,NA,116
"ACOX3","chr4_8388177_8388372_-","chr4_8381607_8389173_-","III",8388308,0,1,0.018,NA,NA,NA,"8386520","TE",NA,NA,113
"ACSF3","chr16_89139918_89143971_+","chr16_89133262_89145214_+","III",89139943,0.191,0.809,0.036,-0.15,0.147,0.311,"89145207","TE",NA,NA,216
"ACSF3","chr16_89151792_89151897_+","chr16_89146049_89154090_+","III",89151846,0,1,0.011,NA,NA,NA,"89152758","TE",NA,NA,119
"ACSM2B","chr16_20544712_20544822_-","chr16_20543262_20545157_-","III",20544808,0,1,0.476,NA,NA,NA,"20544544","TE",NA,NA,7956
"ADGRA3","chr4_22397991_22398138_-","chr4_22392690_22401431_-","II",22398118,0.128,0.872,0.379,-0.335,0.009,0.034,"22397861","pAread",432,0,NA
"ADRA1A","chr8_26825988_26826172_-","chr8_26770666_26864087_-","I",26826102,0.393,0.535,0.004,-0.5,NA,NA,"26779053","TE,pAread",104,0,NA
"ADRA1A","chr8_26859032_26859205_-","chr8_26748748_26864087_-","I",26859114,0.169,0.196,0,NA,NA,NA,"26768807","TE,polyASite,pAread",1120,0.888,NA
"AKR1C2","chr10_5000271_5000460_-","chr10_4999277_5000550_-","III",5000410,0.162,0.838,0.003,0.151,0.853,1,"4999911","TE",NA,NA,247
"AKR1E2","chr10_4845778_4845896_+","chr10_4842504_4847148_+","II",4845819,0.321,0.436,0.258,-0.583,0.008,0.029,"4847113","polyASite,pAread",359,0.38,NA
"ALG9","chr11_111805094_111805315_-","chr11_111786520_111809643_-","II",111805276,0.04,0.96,0.078,0.077,0.704,1,"111805002","polyASite,pAread",944,0.243,NA
"AMBRA1","chr11_46430891_46431087_-","chr11_46418052_46433474_-","II",46430989,0.006,0.994,0.02,0.111,0.781,1,"46428576","polyASite,pAread",10985,0.158,NA
"ANKDD1A","chr15_64950954_64951233_+","chr15_64949972_64957103_+","II",64951015,0,1,0.486,NA,NA,NA,"64955087","pAread",256,0,NA
"ANKRD44","chr2_197069830_197069965_-","chr2_197025267_197078703_-","II",197069960,0.369,0.595,0.066,0.291,0.911,1,"197027852","pAread",88,0,NA
"ANKS1B","chr12_98745466_98745846_-","chr12_98735634_98751355_-","III",98745739,0.67,0.069,0.964,-0.443,0.023,0.07,"98743974","TE",NA,NA,296
"ANKS1B","chr12_98745466_98745849_-","chr12_98735634_98751355_-","III",98745739,0.67,0.069,0.905,-0.351,0.06,0.147,"98743974","TE",NA,NA,296
"ANKS1B","chr12_98745466_98745865_-","chr12_98735634_98751355_-","III",98745833,0.67,0.069,0.2,-0.815,0,0,"98743974","TE",NA,NA,296
"ANP32B","chr9_98007502_98007702_+","chr9_98005153_98011271_+","II",98007515,0.07,0.93,0.013,-0.05,0.364,0.626,"98007803","polyASite,pAread",274,0.121,NA
"AOAH","chr7_36525104_36528351_-","chr7_36522115_36530418_-","III",36528308,0.033,0.967,0.013,0.152,0.784,1,"36523630","TE",NA,NA,877
"APTX","chr9_32980066_32980460_-","chr9_32974561_32984631_-","II",32980373,0.151,0.849,0.009,-0.078,0.293,0.523,"32976496","polyASite,pAread",158,0.039,NA
"ARHGAP26","chr5_143216187_143216833_+","chr5_143214088_143222358_+","II",143216281,0.188,0.812,0.11,-0.068,0.321,0.564,"143217087","polyASite,pAread",312,0.501,NA
"ARID4B","chr1_235176748_235176903_-","chr1_235175399_235177800_-","II",235176890,0.202,0.798,0.088,0.117,0.793,1,"235176417","pAread",73,0,NA
