gene_name,ex,E_junc,n,min_e2e1,max_e2e1,range_psi1,cor_psi_e2e1,cor_psi_e2e1_pval,cor_psi_e2e1_qval,de2e1,stop_cod,split_reads,case
AKR1E2,chr10_4845778_4845896_+,chr10_4842504_4847148_+,17,0.44,0.76,0.26,-0.58,0.01,0.03,0.32,-,236,caseIorII
ANKS1B,chr12_98745466_98745846_-,98735634_98751355,21,0.07,0.74,0.96,-0.44,0.02,0.07,0.67,98745739,296,caseIII
ANKS1B,chr12_98745466_98745865_-,98735634_98751355,20,0.07,0.74,0.2,-0.81,0,0,0.67,98745833,296,caseIII
ARMC7,chr17_75114169_75114351_+,75110606_75128677,50,0.63,0.94,0.38,-0.58,0,0,0.31,75114182,446,caseIII
BDP1,chr5_71562775_71562895_+,chr5_71562520_71564754_+,49,0.53,1,0.73,-0.44,0,0,0.47,-,37792,caseIorII
BTN2A2,chr6_26392146_26393648_+,26390829_26394298,25,0.25,0.99,1,-0.77,0,0,0.74,26392228,227,caseIII
CCDC66,chr3_56569313_56569637_+,56567053_56571181,51,0.38,0.93,0.67,-0.85,0,0,0.55,56569362,140,caseIII
CCNH,chr5_87392770_87394480_-,87312795_87395044,46,0.01,0.34,0.93,-0.7,0,0,0.32,87394457,583,caseIII
CDK12,chr17_39530604_39531408_+,39526316_39544249,51,0.38,0.71,0.39,-0.64,0,0,0.33,39531316,2934,caseIII
CDK12,chr17_39530631_39531408_+,39526316_39544249,51,0.38,0.71,0.42,-0.47,0,0,0.33,39531316,2934,caseIII
CFAP74,chr1_1937389_1937553_-,1930336_1938855,9,0.51,1,0.43,-0.93,0,0,0.49,1937523,268,caseIII
CPED1,chr7_121261632_121261770_+,chr7_121244338_121266227_+,34,0.56,1,0.49,-0.72,0,0,0.44,-,1974,caseIorII
DDX31,chr9_132658103_132658358_-,132652492_132658671,46,0.59,1,0.46,-0.81,0,0,0.41,132658302,495,caseIII
FBXO27,chr19_39025156_39025554_-,39014547_39026870,41,0.15,0.42,0.44,-0.87,0,0,0.27,39025411,113,caseIII
FXN,chr9_69072612_69072830_+,69065035_69099901,51,0.03,0.34,0.37,-0.75,0,0,0.31,69072762,101,caseIII
GCA,chr2_162360217_162361976_+,162359552_162371306,50,0.01,0.33,0.28,-0.43,0,0,0.33,162360243,146,caseIII
GCDH,chr19_12899700_12900050_+,12897863_12900234,44,0.07,0.4,0.91,-0.42,0,0.01,0.33,12899743,296,caseIII
GCOM1,chr15_57646137_57646669_+,chr15_57639545_57661450_+,39,0.55,0.95,0.49,-0.69,0,0,0.41,-,7780,caseIorII
HIF3A,chr19_46338227_46338480_+,46334986_46339525,49,0.48,0.87,0.28,-0.72,0,0,0.39,46338306,1412,caseIII
LEPR,chr1_65633152_65633902_+,65622981_65636191,44,0.06,0.37,0.29,-0.63,0,0,0.31,65633169,102,caseIII
LRRFIP1,chr2_237762603_237764211_+,237760205_237769943,51,0.41,1,0.88,-0.87,0,0,0.59,237764140,779,caseIII
MEGF11,chr15_65921989_65922107_-,chr15_65918094_65922338_-,15,0.56,1,0.5,-0.93,0,0,0.44,-,3,caseIorII
MTMR1,chrX_150751030_150751240_+,chrX_150750843_150755689_+,51,0.69,1,0.35,-0.55,0,0,0.31,-,6438,caseIorII
NECTIN3,chr3_111133635_111134479_+,111126335_111144899,36,0.12,0.83,0.69,-0.92,0,0,0.7,111134215,5073,caseIII
NFX1,chr9_33347663_33347942_+,33347117_33351560,51,0.22,0.47,0.3,-0.79,0,0,0.25,33347740,3695,caseIII
NFX1,chr9_33347666_33347942_+,33347117_33351560,51,0.22,0.47,0.23,-0.73,0,0,0.25,33347740,3695,caseIII
NMT2,chr10_15109040_15109215_-,15106698_15109702,51,0.31,0.77,0.19,-0.35,0.01,0.03,0.46,15109195,665,caseIII
NPTN,chr15_73569714_73569806_-,chr15_73563583_73570150_-,51,0.03,0.33,0.92,-0.3,0.02,0.05,0.3,-,3512,caseIorII
NRP1,chr10_33194581_33194780_-,33192418_33197650,48,0.6,0.97,0.48,-0.49,0,0,0.37,33194713,318,caseIII
PDZD7,chr10_101017253_101017615_-,101016427_101018099,30,0.18,0.79,0.52,-0.86,0,0,0.62,101017584,132,caseIII
PDZD7,chr10_101017253_101017615_-,101016427_101018099,30,0.18,0.79,0.52,-0.86,0,0,0.62,101017546,132,caseIII
PITPNM2,chr12_123000309_123000478_-,122997572_123000778,47,0.58,1,0.5,-0.65,0,0,0.42,123000380,576,caseIII
PPP2R1B,chr11_111738700_111741612_-,111737569_111742053,51,0.03,0.77,0.79,-0.93,0,0,0.74,111741596,1473,caseIII
PRKCE,chr2_46010684_46010814_+,46010517_46086208,40,0.35,1,0.47,-0.33,0.02,0.06,0.65,46010737,299,caseIII
PWWP2A,chr5_160089506_160089610_-,chr5_160080770_160093101_-,51,0.22,0.5,0.39,-0.29,0.02,0.07,0.27,-,7928,caseIorII
RUNDC3A,chr17_44317485_44317938_+,44316725_44318096,23,0.66,1,0.65,-0.72,0,0,0.34,44317504,16380,caseIII
SEMA4D,chr9_89377502_89379629_-,89377051_89381055,47,0.08,1,0.96,-0.82,0,0,0.92,89378704,649,caseIII
THAP3,chr1_6632914_6633454_+,6632495_6634020,50,0.03,0.35,0.52,-0.77,0,0,0.31,6632922,1422,caseIII
THAP6,chr4_75526960_75527598_+,75516979_75539859,46,0.2,0.99,0.35,-0.52,0,0,0.78,75527214,873,caseIII
THAP6,chr4_75526960_75527598_+,75521861_75539859,50,0.22,1,0.79,-0.63,0,0,0.78,75527214,873,caseIII
TM2D3,chr15_101642410_101642644_-,101633728_101645087,51,0.02,0.31,0.25,-0.98,0,0,0.29,101642479,321,caseIII
TMEM45A,chr3_100570609_100571319_+,chr3_100568967_100576925_+,47,0.7,1,0.24,-0.42,0,0.01,0.3,-,34511,caseIorII
TPGS2,chr18_36794224_36797050_-,36787079_36798449,51,0.05,0.4,0.32,-0.96,0,0,0.35,36796805,850,caseIII
TPM2,chr9_35682524_35683241_-,chr9_35682163_35684246_-,51,0.02,0.6,0.99,-0.89,0,0,0.58,-,220227,caseIorII
TRMT44,chr4_8475530_8476487_+,8471200_8508798,51,0.09,0.96,0.2,-0.61,0,0,0.87,8475627,695,caseIII
TRMT44,chr4_8475772_8476487_+,8471200_8508798,51,0.09,0.96,0.67,-0.92,0,0,0.87,8476001,695,caseIII
TUBGCP5,chr15_22995099_22995240_-,chr15_22992382_23000569_-,35,0.06,0.33,1,-0.48,0,0.01,0.27,-,110,caseIorII
UGT1A6,chr2_233769531_233769664_+,chr2_233768439_233772262_+,15,0.61,1,0.93,-0.65,0.01,0.02,0.39,-,23466,caseIorII
VRK3,chr19_49981818_49982188_-,chr19_49981013_49988372_-,51,0.39,0.95,0.31,-0.28,0.02,0.07,0.56,-,4669,caseIorII
WTAP,chr6_159748590_159748934_+,159748369_159753460,51,0.4,1,0.54,-0.29,0.02,0.07,0.6,159748650,5960,caseIII
ZNF880,chr19_52379421_52379679_+,52374427_52383849,50,0.21,0.55,0.35,-0.79,0,0,0.34,52379530,129,caseIII
